"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"2475","Micropogonias","MT_60",2026,1652.85221060237,870.220729557282,3125.33390594064,7.97251873394934e-12,1.04011428386752e-13,8.0816185092121e-10,"No MPA"
"2476","Micropogonias","MT_60",2027,1653.01922701484,871.929015809409,3125.33477247222,5.61506373236365e-13,5.56400745213677e-15,7.51514142844075e-11,"No MPA"
"2477","Micropogonias","MT_60",2028,1653.09181560805,872.946547234711,3125.33495889824,3.9541830945827e-14,2.97247033569596e-16,6.98836421196598e-12,"No MPA"
"2478","Micropogonias","MT_60",2029,1653.12335807784,873.551341801547,3125.33499900596,2.7844155412158e-15,1.58672689952063e-17,6.49851026713184e-13,"No MPA"
"2479","Micropogonias","MT_60",2030,1653.13706334191,873.910358944992,3125.33500763474,1.96065210249448e-16,8.46605547088817e-19,6.04299267096256e-14,"No MPA"
"2480","Micropogonias","MT_60",2031,1653.1430180935,874.123316856277,3125.33500949114,1.38058243530517e-17,4.51583128958247e-20,5.61940484085959e-15,"No MPA"
"2481","Micropogonias","MT_60",2032,1653.14560531234,874.249580168044,3125.33500989052,9.7212499979481e-19,2.40836149711383e-21,5.22550868691028e-16,"No MPA"
"2482","Micropogonias","MT_60",2033,1653.14672939893,874.324422061957,3125.33500997645,6.8451188862557e-20,1.28428838213324e-22,4.85922296000088e-17,"No MPA"
"2483","Micropogonias","MT_60",2034,1653.14721778705,874.368777175252,3125.33500999493,4.81991627698283e-21,6.84822282688941e-24,4.51861228970471e-18,"No MPA"
"2484","Micropogonias","MT_60",2035,1653.14742997947,874.395061807854,3125.33500999891,3.39389050356859e-22,3.65155685505728e-25,4.20187696516526e-19,"No MPA"
"2485","Mugil","MT",2015,1023.4156817895,81.1640517080884,1077.01783797838,27.1984376029404,1.00669586153211,734.829086361483,"No MPA"
