"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1342","Panulirus","MT_20",2019,250.252169505055,101.343871249619,637.677942259604,19.5305698444528,5.48016085381295,82.0012219398824,"MPA 2015",0.0835171559363325
"1343","Panulirus","MT_20",2020,262.872561632737,101.985801129742,711.505902041062,20.1639871214141,5.38673818109558,91.335754707286,"MPA 2015",0.081728057857298
"1344","Panulirus","MT_20",2021,274.564557794769,102.674811443369,777.283191077076,20.7029560166622,5.29899197882829,99.6548080875449,"MPA 2015",0.0799773124358191
"1345","Panulirus","MT_20",2022,285.292016325202,103.405138468668,833.354063089572,21.1462958280887,5.216135410136,106.595375243436,"MPA 2015",0.0782640951958684
"1346","Panulirus","MT_20",2023,295.060150328275,104.171709478584,879.517997835042,21.4959358625166,5.137485355194,111.983122201211,"MPA 2015",0.0765875993818942
"1347","Panulirus","MT_20",2024,303.905884012027,104.969964310837,916.629810554657,21.7563633349171,5.06244763581368,115.835878735359,"MPA 2015",0.0749470356495325
"1348","Panulirus","MT_20",2025,311.888025130537,105.795731059133,946.103760185055,21.9339677128689,4.99050488883518,118.316280087104,"MPA 2015",0.0733416317448921
"1349","Panulirus","MT_20",2026,319.078575416791,106.645142969022,969.50291979914,22.0363729064508,4.92120651967966,119.662792013841,"MPA 2015",0.0717706321723228
"1350","Panulirus","MT_20",2027,325.55573738966,107.514585331401,988.276587197055,22.0718282140906,4.85416030007594,120.128280932741,"MPA 2015",0.0702332978525307
"1351","Panulirus","MT_20",2028,331.3986802931,108.400663279359,1003.63584494154,22.0487022027308,4.7890252735635,119.940695584845,"MPA 2015",0.068728905774083
"1352","Panulirus","MT_20",2029,336.683879766913,109.30018348438,1016.52559833952,21.9750980342287,4.72550570786954,119.285892060027,"MPA 2015",0.0672567486417876
"1353","Panulirus","MT_20",2030,341.482755143555,110.210144586549,1027.64904657477,21.8585886783545,4.66334589098859,118.305613463531,"MPA 2015",0.0658161345253164
"1354","Panulirus","MT_20",2031,345.860318433503,111.127732693061,1037.51244353415,21.706057573923,4.60232561227172,117.103140809414,"MPA 2015",0.0644063865109702
"1355","Panulirus","MT_20",2032,349.874575039088,112.050319438507,1046.47180754872,21.5236240687565,4.5422562043088,115.751416581266,"MPA 2015",0.0630268423588525
"1356","Panulirus","MT_20",2033,353.576455757423,112.975460960664,1054.77339177847,21.3166317489147,4.48297704823296,114.300887069082,"MPA 2015",0.061676854167069
