"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Status"
"4702","Scomberomorus","MT_60",2017,17574.7293298593,17574.7293298593,6297.84382433716,6831.67844439275,17040.8947098037,9283.69068571293,9283.69068571293,2290.40023923511,2395.06815518132,9179.02276976673,18387.3771549172,18387.3771549172,11718.4507910025,14382.4754862382,15723.3524596815,"No MPA"
"4703","Scomberomorus","MT_60",2018,17040.8947098037,17040.8947098037,6213.78581465567,6624.16534998007,16630.5151744793,9179.02276976673,9179.02276976673,2281.21545662352,2368.06523136162,9092.17299502863,15723.3524596815,15723.3524596815,10356.7699237252,12298.6943383808,13781.4280450259,"No MPA"
"4704","Scomberomorus","MT_60",2019,16630.5151744793,16630.5151744793,6144.59927492337,6464.64192444814,16310.4725249545,9092.17299502863,9092.17299502863,2273.30619352193,2345.65914990093,9019.82003864962,13781.4280450259,13781.4280450259,9292.40621811011,10779.7348883952,12294.0993747409,"No MPA"
"4705","Scomberomorus","MT_60",2020,16310.4725249545,16310.4725249545,6087.88703215158,6340.23440561768,16058.1251514884,9019.82003864962,9019.82003864962,2266.51765109683,2326.99305388125,8959.34463586521,12294.0993747409,12294.0993747409,8436.27663396906,9616.35699278086,11114.0190159291,"No MPA"
"4706","Scomberomorus","MT_60",2021,16058.1251514884,16058.1251514884,6041.46779985162,6242.14150873997,15857.4514426,8959.34463586521,8959.34463586521,2260.70441308565,2311.39120798998,8908.65784096088,11114.0190159291,11114.0190159291,7731.74464157475,8693.30653868915,10152.4571188147,"No MPA"
"4707","Scomberomorus","MT_60",2022,15857.4514426,15857.4514426,6003.48224295283,6164.13528596192,15696.7983995909,8908.65784096088,8908.65784096088,2255.73453502136,2298.31469214371,8866.07768383853,10152.4571188147,10152.4571188147,7141.14749201453,7941.17966941186,9352.42494141734,"No MPA"
"4708","Scomberomorus","MT_60",2023,15696.7983995909,15696.7983995909,5972.38790499302,6101.68596396374,15567.5003406202,8866.07768383853,8866.07768383853,2251.49074423848,2287.32958053036,8830.23884754664,9352.42494141734,9352.42494141734,6638.4536233092,7315.40019675108,8675.47836797546,"No MPA"
"4709","Scomberomorus","MT_60",2024,15567.5003406202,15567.5003406202,5946.92036230461,6051.42500427594,15462.9956986489,8830.23884754664,8830.23884754664,2247.87016266871,2278.08363961879,8800.02537059656,8675.47836797546,8675.47836797546,6205.07638664165,6785.89740709317,8094.65734752394,"No MPA"
"4710","Scomberomorus","MT_60",2025,15462.9956986489,15462.9956986489,5926.04828941292,6010.80178348576,15378.2422045761,8800.02537059656,8800.02537059656,2244.78331659918,2270.28896625555,8774.51972094019,8094.65734752394,8094.65734752394,5827.37593014982,6331.58334053791,7590.44993713586,"No MPA"
"4711","Scomberomorus","MT_60",2026,15378.2422045761,15378.2422045761,5908.93190228346,5977.85626223891,15309.3178446206,8774.51972094019,8774.51972094019,2242.15284788263,2263.70884943163,8752.96371939119,7590.44993713586,7590.44993713586,5495.10625610748,5937.19589425947,7148.36029898387,"No MPA"
"4712","Scomberomorus","MT_60",2027,15309.3178446206,15309.3178446206,5894.88742200496,5951.06386871959,15253.141397906,8752.96371939119,8752.96371939119,2239.91214913413,2258.14768904716,8734.72817947816,7148.36029898387,7148.36029898387,5200.41476837034,5591.39652712458,6757.37854022963,"No MPA"
"4713","Scomberomorus","MT_60",2028,15253.141397906,15253.141397906,5883.35769432109,5929.22686554874,15207.2722266783,8734.72817947816,8734.72817947816,2238.00403888287,2253.44316339924,8719.28905496179,6757.37854022963,6757.37854022963,4937.17743960731,5285.57337934924,6408.9826004877,"No MPA"
"4714","Scomberomorus","MT_60",2029,15207.2722266783,15207.2722266783,5873.88826661309,5911.39652389986,15169.7639693916,8719.28905496179,8719.28905496179,2236.37953319415,2249.46007556006,8706.20851259588,6408.9826004877,6408.9826004877,4700.54488534718,5013.06055597991,6096.46692985497,"No MPA"
"4715","Scomberomorus","MT_60",2030,15169.7639693916,15169.7639693916,5866.10803517955,5896.81625082803,15139.0557537431,8706.20851259588,8706.20851259588,2234.99673721608,2246.08547040208,8695.11977940988,6096.46692985497,6096.46692985497,4486.62498684479,4768.61302362816,5814.47889307161,"No MPA"
"4716","Scomberomorus","MT_60",2031,15139.0557537431,15139.0557537431,5859.713622573,5884.87930141766,15113.8900748984,8695.11977940988,8695.11977940988,2233.81986199192,2243.22472539945,8685.71491600235,5814.47889307161,5814.47889307161,4292.25628026345,4548.04398910631,5558.69118422875,"No MPA"
"4717","Scomberomorus","MT_60",2032,15113.8900748984,15113.8900748984,5854.45676398316,5875.09685626731,15093.2499826143,8685.71491600235,8685.71491600235,2232.81836228867,2240.79839630106,8677.73488198996,5558.69118422875,5558.69118422875,4114.84310680372,4347.96866454434,5325.56562648813,"No MPA"
"4718","Scomberomorus","MT_60",2033,15093.2499826143,15093.2499826143,5850.13410993797,5867.07360476219,15076.31048779,8677.73488198996,8677.73488198996,2231.96618646519,2238.73965414911,8670.96141430604,5325.56562648813,5325.56562648813,3952.23367324492,4165.61951321236,5112.17978652069,"No MPA"
"4719","Scomberomorus","MT_60",2034,15076.31048779,15076.31048779,5846.57896764796,5860.48885574686,15062.4005996911,8670.96141430604,8670.96141430604,2231.24112743418,2236.99218998867,8665.21035175155,5112.17978652069,5112.17978652069,3802.62848910727,3998.71062856911,4916.09764705885,"No MPA"
"4720","Scomberomorus","MT_60",2035,15062.4005996911,15062.4005996911,5843.65459939477,5855.08178057059,15050.9734185153,8665.21035175155,8665.21035175155,2230.62426334032,2235.50849269101,8660.32612240087,4916.09764705885,4916.09764705885,3664.51067368304,3845.33657525314,4735.27174548874,"No MPA"
"4721","Scorpaena","MT",2016,19.0823196445573,19.0823196445573,3.41613997520815,3.25868007359813,19.2397795461673,10.1023155836998,10.1023155836998,0.82141089677304,1.03673036859321,9.8869961118796,33.4137829629243,33.4137829629243,12.2670021417925,10.4315030347871,35.2492820699297,"No MPA"
"4722","Scorpaena","MT",2017,19.2397795461673,19.2397795461673,3.42794181695359,3.28556943785388,19.382151925267,9.8869961118796,9.8869961118796,0.82121293718816,1.01463362913423,9.69357541993353,35.2492820699297,35.2492820699297,12.7080396164195,11.004530474581,36.9527912117682,"No MPA"
"4723","Scorpaena","MT",2018,19.382151925267,19.382151925267,3.43838192503663,3.30988231194073,19.5106515383629,9.69357541993353,9.69357541993353,0.82039229463888,0.994784209108353,9.51918350546405,36.9527912117682,36.9527912117682,13.0956683167382,11.5363517533208,38.5121077751855,"No MPA"
"4724","Scorpaena","MT",2019,19.5106515383629,19.5106515383629,3.44761647479848,3.33182613934014,19.6264418738212,9.51918350546405,9.51918350546405,0.819130844850753,0.976887580135553,9.36142677017925,38.5121077751855,38.5121077751855,13.4321784037059,12.0231573174059,39.9211288614856,"No MPA"
"4725","Scorpaena","MT",2020,19.6264418738212,19.6264418738212,3.45578467582011,3.35159960849388,19.7306269411475,9.36142677017925,9.36142677017925,0.817563677830924,0.960698103874906,9.21829234413527,39.9211288614856,39.9211288614856,13.7212035613992,12.4630418930053,41.1792905298794,"No MPA"
"4726","Scorpaena","MT",2021,19.7306269411475,19.7306269411475,3.46301023960397,3.36939125066246,19.824245930089,9.21829234413527,9.21829234413527,0.815791590918863,0.946009213487202,9.08807472156693,41.1792905298794,41.1792905298794,13.9672083009978,12.8558294225307,42.2906694083466,"No MPA"
"4727","Scorpaena","MT",2022,19.824245930089,19.824245930089,3.46940284565559,3.38537852786233,19.9082702478822,9.08807472156693,9.08807472156693,0.813890001426273,0.93264588478062,8.96931883821259,42.2906694083466,42.2906694083466,14.1750367188313,13.2027925950751,43.2629135321028,"No MPA"
"4728","Scorpaena","MT",2023,19.9082702478822,19.9082702478822,3.47505955857229,3.39972732691773,19.9836024795368,8.96931883821259,8.96931883821259,0.81191538387434,0.920458794632574,8.86077542745435,43.2629135321028,43.2629135321028,14.34955720805,13.5063190631428,44.10615167701,"No MPA"
