,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
34,Mugil,MT,0.565525439,0.407485471,0.784859938,2812.149899,1426.383789,5544.221069,397.5855763,199.8043739,791.1452957,1406.074949,713.1918943,2772.110534,2005,454.602,454.602,1232.605844,564.2598873,1702.149265,0.876628834,0.40130143,1.210567947,0.438314417,0.200650715,0.605283974,0.368813763,0.267075285,0.805660672,0.282762719,0.203742736,0.392429969,1.304322452,0.944520853,2.849246442,1.304322452,0.2
35,Mugil,MT_20,0.565525439,0.407485471,0.784859938,3405.630433,1729.753344,6705.186429,481.4926611,242.6151738,955.5675316,1702.815216,864.8766718,3352.593214,2005,545.5224,545.5224,1487.839012,681.8694536,2058.715531,0.873752476,0.400436552,1.209007009,0.436876238,0.200218276,0.604503504,0.366654185,0.264981923,0.800039358,0.282762719,0.203742736,0.392429969,1.296685028,0.937117607,2.829366474,1.296685028,0.2
36,Mugil,MT_40,0.565525439,0.407485471,0.784859938,3993.37497,2000.593984,7971.154456,564.588783,276.9259519,1151.067611,1996.687485,1000.296992,3985.577228,2005,636.4428,636.4428,1747.561464,799.2034663,2418.580007,0.875230339,0.400264674,1.211296222,0.437615169,0.200132337,0.605648111,0.364189079,0.263147301,0.796346396,0.282762719,0.203742736,0.392429969,1.287967098,0.930629403,2.816306187,1.287967098,0.2
37,Mugil,MT_60,0.565525439,0.407485471,0.784859938,4513.869064,2279.740483,8937.426906,638.1769457,318.0291977,1280.605105,2256.934532,1139.870241,4468.713453,2005,727.3632,727.3632,1988.240945,906.1409375,2726.209414,0.880947549,0.401491902,1.207925784,0.440473775,0.200745951,0.603962892,0.365832522,0.266803862,0.80270427,0.282762719,0.203742736,0.392429969,1.293779191,0.943560956,2.838791026,1.293779191,0.2
38,Octopus,MT,0.565525439,0.407485471,0.784859938,4826.443309,2907.033384,8013.170794,682.3691174,480.2401908,969.5723541,2413.221654,1453.516692,4006.585397,2000,0.596,0.596,2111.553104,1128.599543,2916.39813,0.874993435,0.467673386,1.208508189,0.437496717,0.233836693,0.604254094,0.000282257,0.000204362,0.000528088,0.282762719,0.203742736,0.392429969,0.00099821,0.000722732,0.001867602,0.00099821,0.110782429
39,Octopus,MT_20,0.565525439,0.407485471,0.784859938,5808.195571,3517.203789,9591.464643,821.1705871,584.0448082,1154.570888,2904.097785,1758.601895,4795.732321,2000,0.7152,0.7152,2538.667456,1369.48808,3511.592734,0.874167347,0.471570925,1.209185432,0.437083673,0.235785463,0.604592716,0.000281723,0.000203668,0.000522239,0.282762719,0.203742736,0.392429969,0.000996322,0.00072028,0.001846916,0.000996322,0.110782429
40,Octopus,MT_40,0.565525439,0.407485471,0.784859938,6864.308952,4131.557841,11404.59343,970.4853328,682.0697011,1380.858554,3432.154476,2065.77892,5702.296713,2000,0.8344,0.8344,2992.740922,1394.60794,4146.136063,0.87197151,0.406336005,1.20802723,0.435985755,0.203168003,0.604013615,0.000278808,0.000201248,0.000598304,0.282762719,0.203742736,0.392429969,0.000986014,0.000711719,0.002115924,0.000986014,0.110782429
41,Octopus,MT_60,0.565525439,0.407485471,0.784859938,7666.386094,4609.175447,12751.4078,1083.88409,760.1041021,1545.583976,3833.193047,2304.587724,6375.703899,2000,0.9536,0.9536,3355.538519,1566.945285,4633.264799,0.875389911,0.408783295,1.208722009,0.437694955,0.204391648,0.604361004,0.000284187,0.000205816,0.000608573,0.282762719,0.203742736,0.392429969,0.001005037,0.000727875,0.002152238,0.001005037,0.110782429
42,Panulirus,MT,0.282239296,0.163449697,0.487361077,385.8267414,131.7400215,1129.970017,27.22386698,9.665960032,76.67514982,192.9133707,65.87001077,564.9850087,2000,5.6,5.6,124.4737482,76.49548401,230.6382675,0.645231317,0.396527642,1.195553562,0.322615658,0.198263821,0.597776781,0.044989406,0.024280446,0.073206936,0.141119648,0.081724848,0.243680538,0.318803275,0.172055744,0.518757926,0.318803275,0.2
43,Panulirus,MT_20,0.282239296,0.163449697,0.487361077,471.8161986,160.6547238,1385.645687,33.29126795,11.7561252,94.27498453,235.9080993,80.32736192,692.8228437,2000,6.72,6.72,151.7811487,93.5415425,282.9278584,0.643391003,0.396516876,1.199313882,0.321695502,0.198258438,0.599656941,0.044274273,0.023751638,0.071839739,0.141119648,0.081724848,0.243680538,0.31373571,0.16830851,0.509069715,0.31373571,0.2
44,Panulirus,MT_40,0.282239296,0.163449697,0.487361077,551.3782875,186.4820467,1630.280347,38.90515494,13.55787968,111.6406928,275.6891437,93.24102336,815.1401737,2000,7.84,7.84,177.2792948,109.3302031,330.7050106,0.643040536,0.396570578,1.199557611,0.321520268,0.198285289,0.599778805,0.044224003,0.023706928,0.07170937,0.141119648,0.081724848,0.243680538,0.313379485,0.167991691,0.508145897,0.313379485,0.2
45,Panulirus,MT_60,0.282239296,0.163449697,0.487361077,614.0478231,207.0978458,1820.659832,43.32710635,15.01636816,125.0127943,307.0239115,103.5489229,910.3299159,2000,8.96,8.96,217.9362107,121.7743135,368.4500975,0.70983465,0.396628109,1.200069713,0.354917325,0.198314055,0.600034857,0.041112948,0.024318083,0.073578735,0.141119648,0.081724848,0.243680538,0.291333972,0.172322445,0.521392566,0.291333972,0.2
46,Scomberomorus,MT,0.565525439,0.407485471,0.784859938,29056.19433,14296.49086,59053.82219,4108.004262,1944.997859,8676.461483,14528.09717,7148.245429,29526.91109,2005,4675.976,4675.976,11760.434,5809.980946,17542.10119,0.809495825,0.399913415,1.207460343,0.404747912,0.199956707,0.603730172,0.397602333,0.26655735,0.804817786,0.282762719,0.203742736,0.392429969,1.406134211,0.942689157,2.846265546,1.406134211,0.2
47,Scomberomorus,MT_20,0.565525439,0.407485471,0.784859938,35905.86113,17517.22115,73597.9099,5076.419467,2363.805126,10901.92855,17952.93057,8758.610573,36798.95495,2005,5611.1712,5611.1712,14483.57609,7125.000082,21741.10452,0.806752749,0.396871143,1.211005882,0.403376375,0.198435572,0.605502941,0.387416144,0.258090439,0.787532791,0.282762719,0.203742736,0.392429969,1.370110405,0.912745638,2.785136572,1.370110405,0.2
48,Scomberomorus,MT_40,0.565525439,0.407485471,0.784859938,42808.3362,20788.07258,88154.09131,6052.300777,2792.719074,13116.37287,21404.1681,10394.03629,44077.04566,2005,6546.3664,6546.3664,17076.95636,8505.797504,25836.2176,0.79783322,0.397389773,1.207064786,0.39891661,0.198694887,0.603532393,0.383345033,0.253379442,0.769635816,0.282762719,0.203742736,0.392429969,1.355712782,0.896085038,2.721843309,1.355712782,0.2
49,Scomberomorus,MT_60,0.565525439,0.407485471,0.784859938,47164.17941,22966.70827,96855.83989,6668.135813,3093.601378,14372.90387,23582.08971,11483.35414,48427.91995,2005,7481.5616,7481.5616,19025.59895,9385.438543,28467.2095,0.806781722,0.397990113,1.207153813,0.403390861,0.198995056,0.603576906,0.393236587,0.262813312,0.79714566,0.282762719,0.203742736,0.392429969,1.390694601,0.929448239,2.819132811,1.390694601,0.2
50,Sphoeroides,MT,0.552943197,0.389409029,0.785154316,431.7924462,206.210468,904.1476819,59.68917395,26.28615028,135.5389606,215.8962231,103.105234,452.0738409,2005,81.6426,81.6426,135.6202503,85.72257102,259.4573804,0.628173334,0.397054519,1.201768964,0.314086667,0.198527259,0.600884482,0.60199417,0.314666709,0.952404939,0.276471599,0.194704514,0.392577158,2.177417763,1.138152021,3.444856337,2.177417763,0.2
51,Sphoeroides,MT_20,0.544710946,0.385437973,0.769799644,518.9856001,249.6760105,1078.782269,70.67428425,31.28194898,159.672099,259.4928,124.8380053,539.3911343,2005,97.97112,97.97112,147.6011525,102.290709,310.238473,0.56880635,0.394194787,1.195557152,0.284403175,0.197097393,0.597778576,0.663755793,0.315792942,0.957771444,0.272355473,0.192718986,0.384899822,2.437093648,1.159488144,3.516622721,2.437093648,0.2
52,Sphoeroides,MT_40,0.552943197,0.393322655,0.7773419,600.7686059,287.6970614,1254.524172,83.04772845,36.77024571,187.5681021,300.3843029,143.8485307,627.2620862,2005,114.29964,114.29964,171.3741431,118.8561364,359.210662,0.570516307,0.395680251,1.195836994,0.285258153,0.197840125,0.597918497,0.666959659,0.31819668,0.961663768,0.276471599,0.196661327,0.38867095,2.412398459,1.150919955,3.478345598,2.412398459,0.2
53,Sphoeroides,MT_60,0.557105862,0.395343607,0.785056178,681.8319067,323.1668433,1438.559551,94.96313799,41.39683898,217.8426614,340.9159533,161.5834217,719.2797754,2005,130.62816,130.62816,205.3111076,134.9333654,408.3998128,0.602233793,0.395796571,1.19794867,0.301116896,0.197898286,0.598974335,0.636244972,0.319853624,0.968093841,0.278552931,0.197671804,0.392528089,2.28410798,1.148268742,3.475439436,2.28410798,0.2
54,Squatina,MT,0.062038507,0.039696193,0.096955807,4186.823809,1384.761102,12658.8576,64.93607494,17.81374542,236.7101207,2093.411905,692.3805512,6329.428801,2005,101.46805,101.46805,1339.571936,828.2291908,2495.688223,0.639898882,0.395636038,1.192163003,0.319949441,0.197818019,0.596081502,0.075746623,0.040657342,0.122512043,0.031019254,0.019848096,0.048477904,2.441922795,1.3107131,3.949548366,2.441922795,0.2
55,Squatina,MT_20,0.062038507,0.039696193,0.096955807,4983.476088,1657.681599,14981.78778,77.2918545,21.4417845,278.6163051,2491.738044,828.8407995,7490.893888,2005,121.76166,121.76166,1592.924338,986.2835244,2972.45458,0.639282425,0.395821514,1.192924187,0.319641212,0.197910757,0.596462093,0.076439073,0.040963337,0.123455028,0.031019254,0.019848096,0.048477904,2.464246042,1.320577789,3.979948361,2.464246042,0.2
56,Squatina,MT_40,0.062038507,0.039696193,0.096955807,5852.240233,1955.284934,17515.9718,90.76606222,25.39874558,324.365549,2926.120117,977.6424668,8757.985898,2005,142.05527,142.05527,1870.777456,1157.640393,3478.214386,0.639337205,0.395622991,1.188677924,0.319668602,0.197811496,0.594338962,0.075933815,0.040841436,0.122711052,0.031019254,0.019848096,0.048477904,2.447957523,1.316647923,3.955964023,2.447957523,0.2
57,Squatina,MT_60,0.062038507,0.039696193,0.096955807,6667.075052,2202.734121,20179.41672,103.4038462,28.30724258,377.7250778,3333.537526,1101.36706,10089.70836,2005,162.34888,162.34888,2135.426575,1318.044496,3973.796902,0.640588731,0.395389128,1.192066047,0.320294366,0.197694564,0.596033024,0.07602644,0.040854851,0.123174051,0.031019254,0.019848096,0.048477904,2.450943552,1.317080396,3.970890217,2.450943552,0.2
