"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","Revenue_hi","Status"
"3442","Caranx","MT_60",2039,1113.06250701416,1113.06250701444,0.0167020272905419,4.05624884569066e-17,1113.07948730743,-2.40368460605808e-13,3.64422285906432e-20,-156529.501767624,972.703969066383,972.703969066383,0.137808222020096,6.64994656763231e-18,972.842020464456,-4.17834588613123e-14,6.83655574216315e-21,-137821.573787858,1273.33739674247,1273.33739675335,0.00440854511570096,4.17724519591522e-16,1273.3421236329,-2.32764865912429e-12,3.28054776549436e-19,-176986.728427985,"No MPA"
"3443","Caranx","MT_60",2040,1113.07920903756,1113.07920903729,0.00893039176914593,7.912495273581e-18,1113.08841769893,-4.68857871260472e-14,7.10865249410135e-21,-156529.501767624,972.841777253951,972.841777253951,0.0772118238126477,1.23277228400084e-18,972.919232288269,-7.74452328563038e-15,1.26718650928779e-21,-137821.573787858,1273.34180529737,1273.34180528662,0.00223868741197507,8.56501114871106e-17,1273.34436230957,-4.7722934776102e-13,6.7264021112211e-20,-176986.728427985,"No MPA"
"3444","Caranx","MT_60",2041,1113.08813942682,1113.08813942708,0.00477488754595812,1.54353997006417e-18,1113.09319258673,-9.14583928847679e-15,1.38671820272383e-21,-156529.501767624,972.918989058461,972.918989058461,0.0432530890008273,2.28524795771732e-19,972.96248537727,-1.43548233002189e-15,2.3488568031927e-22,-137821.573787858,1273.34404397348,1273.34404398407,0.00113682204398647,1.75627212413522e-17,1273.34549914221,-9.78506249087386e-14,1.37925935522244e-20,-176986.728427985,"No MPA"
"3445","Caranx","MT_60",2042,1113.09291431343,1113.09291431319,0.00255300166948128,3.01119723139791e-19,1113.09574558816,-1.78412178661735e-15,2.70525168193702e-22,-156529.501767624,972.962242136648,972.962242136648,0.0242274785978122,4.23624852831743e-20,972.986712855867,-2.66080985161938e-16,4.35396902962277e-23,-137821.573787858,1273.34518080583,1273.34518079539,0.000577277269189796,3.60148710705863e-18,1273.34607640903,-2.0064424861407e-14,2.82836599295697e-21,-176986.728427985,"No MPA"
"3446","Caranx","MT_60",2043,1113.09546731422,1113.09546731445,0.0013650124674231,5.87459776634095e-20,1113.09711060086,-3.48051857109443e-16,5.27771109504765e-23,-156529.501767624,972.986469609189,972.986469609189,0.0135698688927409,7.85296765237771e-21,973.00028272476,-4.93222213489751e-17,8.07099166783895e-24,-137821.573787858,1273.34575807251,1273.34575808281,0.000293148313754452,7.38581098761167e-19,1273.34636956764,-4.11449352988568e-15,5.80031707361162e-22,-176986.728427985,"No MPA"
"3447","Caranx","MT_60",2044,1113.09683232658,1113.09683232636,0.000729828309692154,1.14613304231659e-20,1113.09784042894,-6.79018946313274e-17,1.02967928979521e-23,-156529.501767624,973.000039474689,973.000039474689,0.0076002842226279,1.45577471611286e-21,973.007883008983,-9.14290458987111e-18,1.49617090761387e-24,-137821.573787858,1273.34605123105,1273.3460512209,0.000148856449251318,1.51474936128386e-19,1273.34651841394,-8.43786381494707e-16,1.18958156043449e-22,-176986.728427985,"No MPA"
"3448","Caranx","MT_60",2045,1113.09756215448,1113.0975621547,0.000390215272460162,2.23619699069343e-21,1113.09823064443,-1.3247632042255e-17,2.00898511296337e-24,-156529.501767624,973.007639757012,973.007639757012,0.00425673479509017,2.69876201537304e-22,973.012139743778,-1.69487819564087e-18,2.7736281098024e-25,-137821.573787858,1273.34620007731,1273.34620008731,7.55946813922914e-05,3.10677339575995e-20,1273.34659401862,-1.73051353497334e-16,2.43984913048625e-23,-176986.728427985,"No MPA"
"3449","Caranx","MT_60",2046,1113.09795236987,1113.09795236967,0.000208634975467477,4.36318146152491e-22,1113.0984392792,-2.58471699034183e-18,3.91985302051809e-25,-156529.501767624,973.011896490743,973.011896490743,0.00238407106152809,5.00318087839261e-23,973.01452381484,-3.14199518917824e-19,5.14195113712568e-26,-137821.573787858,1273.34627568197,1273.34627567212,3.83822452358232e-05,6.3724217204113e-21,1273.34663239101,-3.54930849962774e-17,5.00446755843611e-24,-176986.728427985,"No MPA"
"3450","Caranx","MT_60",2047,1113.09816100459,1113.09816100479,0.000111550198191617,8.51362842104934e-23,1113.0985508296,-5.04319849623153e-19,7.64858535473506e-26,-156529.501767624,973.014280561208,973.014280561208,0.00133524041995394,9.27554949918167e-24,973.01585905526,-5.82485649580774e-20,9.53279655355563e-27,-137821.573787858,1273.34631405436,1273.34631406407,1.94954475768607e-05,1.30715016186883e-21,1273.34665189617,-7.28012196287351e-18,1.02654699719459e-24,-176986.728427985,"No MPA"
"3451","Caranx","MT_60",2048,1113.09827255496,1113.09827255477,5.96420311954777e-05,1.66128554183253e-23,1113.09861047144,-9.84050523198064e-20,1.49248738181751e-26,-156529.501767624,973.015615801295,973.015615801295,0.000747822350894831,1.71967057078212e-24,973.01660687761,-1.07988524982355e-20,1.767361297124e-27,-137821.573787858,1273.34633355951,1273.34633354994,9.89505606668256e-06,2.68146660556517e-22,1273.34666178166,-1.49334314846985e-18,2.10584180008809e-25,-176986.728427985,"No MPA"
"3452","Caranx","MT_60",2049,1113.09833219678,1113.09833219697,3.18886634154108e-05,3.24184330838468e-24,1113.09864236028,-1.92020212991163e-20,2.9124493354741e-27,-156529.501767624,973.016363623458,973.016363623458,0.000418828938771417,3.18832964560319e-25,973.017025706549,-2.00208552052914e-21,3.27674740910587e-28,-137821.573787858,1273.34634344499,1273.34634345442,5.02944315763232e-06,5.50104426214636e-23,1273.34666682053,-3.06341982637193e-19,4.32014660834728e-26,-176986.728427985,"No MPA"
"3453","Caranx","MT_60",2050,1113.09836408562,1113.09836408545,1.70497031779195e-05,6.32641748097412e-25,1113.09865940981,-3.747094605471e-21,5.68360901739957e-28,-156529.501767624,973.016782452293,973.016782452293,0.000234571104361659,5.9114443969945e-26,973.017260277653,-3.71193402910956e-22,6.07537611451552e-29,-137821.573787858,1273.34634848387,1273.34634847457,2.54932154831862e-06,1.12860926892324e-23,1273.34666936056,-6.28462345664323e-20,8.86333076711398e-27,-176986.728427985,"No MPA"
"3454","Caranx","MT_60",2051,1113.09838113515,1113.09838113531,9.11597921434382e-06,1.234643905499e-25,1113.09866852596,-7.31240898480516e-22,1.1091953934736e-28,-156529.501767624,973.017017023338,973.017017023338,0.000131374814165342,1.09606540359343e-26,973.017391652468,-6.8822501463534e-23,1.12646039113495e-29,-137821.573787858,1273.34635102389,1273.34635103305,1.29912640526511e-06,2.3156221860135e-24,1273.34667066885,-1.28937051199371e-20,1.81853240891292e-27,-176986.728427985,"No MPA"
"3455","Caranx","MT_60",2052,1113.09839025129,1113.09839025113,4.87392720533038e-06,2.40959233123109e-26,1113.09867339972,-1.42706691052658e-22,2.16476077041943e-29,-156529.501767624,973.01714839812,973.01714839812,7.35782727567883e-05,2.03231866951578e-27,973.01746523074,-1.27606621302106e-23,2.08867661251595e-30,-137821.573787858,1273.34635233218,1273.34635232315,6.5519040338836e-07,4.75135296545221e-25,1273.34667131501,-2.64546379320024e-21,3.73138994658579e-28,-176986.728427985,"No MPA"
