,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
48,Squatina,IUU_60,0.095607883,0.07380159,0.123857323,10210.69761,4785.698018,21785.40003,0.054618219,0.039141072,0.09678057,2309.497496,1303.367407,3222.718108,0.81,244.0557967,91.78931581,648.9124728,5105.348806,2392.849009,10892.70001,0.043249967,0.033385493,0.056029115,1250,1250,1250,1.7,2116092.337,1031016.479,4343137.979,213548.8221,80315.65133,567798.4137
49,Atrina,IUU_20_legal,0.282239296,0.163449697,0.487361077,18550.24134,5618.437898,61246.81982,0.114026432,0.065056045,0.238842916,4201.80472,2005.991251,7364.677637,0.02,1308.901764,367.4225787,4662.815864,9275.120668,2809.218949,30623.40991,0.127859728,0.074045798,0.220783766,22500,25000,23750,1.7,72938721.32,33494168.11,158395336.8,21760491.83,5786905.615,81599277.62
50,Callinectes,IUU_20_legal,1.194228058,0.962111433,1.482344565,8098.21212,5920.474504,11076.99045,0.702038629,0.556535963,0.966043646,3181.141874,2311.784244,4012.830487,0.46,2417.778033,1998.765206,2924.630968,4049.10606,2960.237252,5538.495225,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,2125780.681,1869730.077,2367571.779,2961778.09,2098703.466,4094483.355
51,Cephalopholis,IUU_20_legal,0.453277844,0.39167906,0.524564177,1828.002501,1209.194115,2763.487766,0.254282085,0.196274138,0.424953813,684.6112821,409.6548348,886.9450917,0.09,207.148258,122.6958587,349.7298217,914.0012506,604.5970576,1381.743883,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,342750.4687,187953.666,600034.9485,181254.7258,85887.10109,367216.3128
52,Dasyatis,IUU_20_legal,0.763379494,0.493121345,1.181754265,899.6751586,522.8384383,1548.117605,0.445264533,0.374879225,0.549816536,415.7904038,336.7245396,493.8569755,0.26,171.6983919,139.5534011,211.2477198,449.8375793,261.4192191,774.0588026,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,168689.0923,212250.0924,134068.3037,150236.0929,122109.226,184841.7548
53,Epinephelus,IUU_20_legal,0.453277844,0.418611289,0.490815248,905.9861465,752.8364856,1090.29107,0.229759015,0.195499298,0.267695722,440.8447865,378.3701256,518.0993742,0.25,102.6658617,84.01285052,125.4603207,452.9930733,376.4182428,545.1455352,0.226638922,0.209305645,0.245407624,2500,2500,2500,1.7,339744.8046,301041.2733,383424.2759,179665.258,147022.4884,219555.5612
54,Lutjanus,IUU_20_legal,0.378136514,0.307547725,0.464926942,1123.606711,708.5997258,1781.671649,0.155454695,0.125348236,0.203287,231.6725905,177.1613137,287.316305,0.12,106.2191813,64.51601657,174.8792792,561.8033557,354.2998629,890.8358246,0.155933326,0.126824408,0.191723364,2250,2500,2375,1.7,485343.1182,343374.843,684107.8555,176589.3889,101612.7261,306038.7386
55,Micropogonias,IUU_20_legal,0.798516219,0.518274632,1.230290106,1416.590029,580.712178,3455.631528,0.48650114,0.331157423,0.916076132,328.2341824,174.3155382,482.2066272,1,282.7925284,114.9030071,695.9923517,708.2950147,290.356089,1727.815764,0.370043997,0.240175981,0.570134278,750,750,750,1.7,171947.983,107642.6397,274669.1177,148466.0774,60324.07873,365395.9846
56,Mugil,IUU_20_legal,0.579117434,0.519799302,0.645204796,4078.414788,3150.782793,5279.153873,0.363156019,0.303517295,0.439719931,910.8944433,752.2897567,1089.877926,0.53,590.4702766,440.0679692,792.2756755,2039.207394,1575.391396,2639.576937,0.25868622,0.232189378,0.288206813,600,1000,750,1.7,513579.0079,341153.5667,824694.948,309996.8952,184828.5471,554592.9729
57,Octopus,IUU_20_legal,0.660340281,0.551286854,0.790966234,4676.599112,3554.251767,6153.356795,0.358733942,0.301979543,0.415516753,2653.21998,2290.641854,3151.869344,0.11,772.0366927,642.2232318,928.089526,2338.299556,1777.125883,3076.678397,0.33017014,0.275643427,0.395483117,5000,6000,5500,1.7,3858194.272,3494858.768,4224102.307,2972341.267,2247781.311,3897976.009
58,Panulirus,IUU_20_legal,0.282239296,0.163449697,0.487361077,344.3692172,156.8503006,756.0722378,0.093519542,0.078139386,0.116831605,129.506194,103.6651004,154.9968653,0.06,24.29863137,15.17549346,38.90637809,172.1846086,78.42515028,378.0361189,0.141119648,0.081724848,0.243680538,10000,10000,10000,1.7,516553.8261,557070.2362,478984.2276,170090.4196,106228.4542,272344.6466
59,Scomberomorus,IUU_20_legal,0.847893704,0.539830542,1.331758168,20581.71495,11710.01405,36174.76362,0.442932137,0.364332502,0.541903567,5043.210492,4122.135624,6131.212518,1,4362.776632,3246.961654,5862.040259,10290.85748,5855.007026,18087.38181,0.415524793,0.264553178,0.652650839,1000,1250,1125,1.7,3543560.187,3682013.966,3368210.023,3435686.598,2272873.158,5129285.227
60,Squatina,IUU_20_legal,0.095607883,0.07380159,0.123857323,7690.179984,3623.531989,16320.77993,0.043377494,0.031132053,0.076799034,1744.784596,985.486136,2431.075948,0.81,183.8104578,69.85418538,483.6687195,3845.089992,1811.765995,8160.389967,0.043383942,0.033488911,0.056202676,1250,1250,1250,1.7,1588811.862,782208.7591,3227173.201,160834.1506,61122.41221,423210.1296
61,Atrina,IUU_40_legal,0.282239296,0.163449697,0.487361077,22462.47672,6796.253151,74241.32812,0.087680004,0.047284206,0.173405633,4781.331884,2417.610047,8866.114853,0.02,1584.948405,444.0009043,5657.784524,11231.23836,3398.126576,37120.66406,0.120154136,0.069583355,0.207478016,22500,25000,23750,1.7,93985590.19,43070732.99,204519904.1,26349767.23,6993014.243,99011229.17
62,Callinectes,IUU_40_legal,1.191246217,0.957432554,1.482159284,9490.527605,6936.211201,12985.49188,0.528350587,0.407904738,0.709110283,3698.536479,2755.74049,4790.637956,0.46,2826.388776,2346.029561,3405.103518,4745.263802,3468.105601,6492.745939,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2491263.498,2205300.62,2756872.534,3462326.251,2463331.039,4767144.925
63,Cephalopholis,IUU_40_legal,0.453277844,0.39167906,0.524564177,2131.5022,1415.920619,3208.726231,0.191368796,0.146433757,0.310031229,795.9700823,491.3177185,1040.223507,0.09,241.5406803,144.2558094,404.4336274,1065.7511,707.9603094,1604.363116,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,399656.6623,220980.6305,693890.8144,211348.0953,100979.0666,424655.3088
64,Dasyatis,IUU_40_legal,0.763379494,0.493121345,1.181754265,1055.081372,614.012404,1812.987317,0.331694697,0.278508974,0.40602884,488.3847454,398.9732114,581.6495888,0.26,201.356871,164.1100185,247.0573696,527.5406859,307.006202,906.4936586,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,197827.7573,249598.8368,156794.8875,176187.2621,143596.2662,216175.1984
65,Epinephelus,IUU_40_legal,0.4527116,0.417592167,0.490784573,1064.65931,867.8276759,1306.134245,0.171342432,0.152124746,0.194818938,517.2510681,454.9201273,582.5946009,0.25,120.495905,95.49066721,152.0490279,532.3296549,433.913838,653.0671223,0.2263558,0.208796083,0.245392286,2500,2500,2500,1.7,399247.2415,343004.5209,464712.126,210867.8338,167108.6676,266085.7988
66,Lutjanus,IUU_40_legal,0.378136514,0.307547725,0.464926942,1312.503365,826.6388339,2083.939216,0.116268689,0.093405247,0.154776337,271.0340014,203.6019753,337.3768513,0.12,124.0763618,75.16816399,204.8066994,656.2516826,413.319417,1041.969608,0.156171565,0.127018174,0.192016284,2250,2500,2375,1.7,566072.3691,399458.6688,799958.3231,206276.9515,118389.8583,358411.724
67,Micropogonias,IUU_40_legal,0.786627861,0.51298945,1.206230249,1664.638914,696.0863088,3980.860821,0.365342127,0.247381124,0.653794148,382.4511485,213.7148464,564.8188243,1,327.3628371,137.0115243,782.1708989,832.3194571,348.0431544,1990.43041,0.36145584,0.235718873,0.554263318,750,750,750,1.7,203777.6962,130781.1826,317517.7691,171865.4895,71931.05026,410639.7219
68,Mugil,IUU_40_legal,0.579117434,0.519799302,0.645204796,4772.437695,3696.94969,6160.798351,0.272330698,0.228464101,0.326915082,1062.8519,885.3895589,1266.926395,0.53,690.9504679,517.6950206,922.1887988,2386.218848,1848.474845,3080.399176,0.257946192,0.23152515,0.287382334,600,1000,750,1.7,602698.7802,402483.7203,962677.9621,362748.9956,217431.9087,645532.1592
