,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
92,Micropogonias,IUU_60,0.763379494,0.482873773,1.206833515,1883.257177,797.0207362,4449.893751,359.4099778,151.1668253,854.5230207,941.6285884,398.5103681,2224.946876,2009,266.14384,211.1186133,459.5564566,250.7253868,640.5433271,0.488044291,0.266267815,0.68025051,0.244022145,0.133133908,0.340125255,0.579131979,0.415497014,1.061495381,0.372563004,0.235663788,0.588988207,1.554453804,1.115239597,2.849170127,1.517284609,1
101,Mugil,IUU_0,0.579117434,0.519799302,0.645204796,3389.184792,2621.086243,4382.371463,490.6839999,366.4571801,657.0229779,1694.592396,1310.543121,2191.185732,2009,344.58,353.37,763.0848725,632.8380471,898.3176823,0.450305852,0.373445584,0.530108411,0.225152926,0.186722792,0.265054206,0.451561828,0.383583677,0.5444995,0.260779969,0.234068667,0.290539495,1.73158172,1.470909281,2.087965194,1.559482763,0.53
111,Mugil,IUU_20,0.579117434,0.519799302,0.645204796,4078.414788,3150.782793,5279.153873,590.4702766,440.0679692,792.2756755,2039.207394,1575.391396,2639.576937,2009,413.496,424.044,910.8944433,752.2897567,1089.877926,0.446690438,0.368912823,0.534461541,0.223345219,0.184456412,0.26723077,0.453945024,0.379396619,0.549649914,0.25868622,0.232189378,0.288206813,1.754809453,1.466628639,2.124774616,1.567713205,0.53
121,Mugil,IUU_40,0.579117434,0.519799302,0.645204796,4772.437695,3696.94969,6160.798351,690.9504679,517.6950206,922.1887988,2386.218848,1848.474845,3080.399176,2009,482.412,494.718,1062.8519,885.3895589,1266.926395,0.445412583,0.371042899,0.530934703,0.222706291,0.185521449,0.265467351,0.453884497,0.380773502,0.54485847,0.257946192,0.23152515,0.287382334,1.759609218,1.476174155,2.11229507,1.567504173,0.53
131,Mugil,IUU_60,0.579117434,0.519799302,0.645204796,5484.151063,4259.312331,7061.213302,793.9918728,597.9318228,1054.339425,2742.075532,2129.656165,3530.606651,2009,551.328,565.392,1215.600194,1001.517177,1452.424739,0.443313899,0.365240551,0.529680792,0.221656949,0.182620275,0.264840396,0.453543856,0.379591441,0.550492805,0.256730807,0.230434255,0.286028253,1.766612512,1.478558203,2.144241319,1.56632776,0.53
141,Scomberomorus,IUU_0,0.835270211,0.5551594,1.256713525,17460.80151,9997.534676,30495.47708,3646.121843,2722.060257,4883.875902,8730.400757,4998.767338,15247.73854,2009,2326.875,2651.509667,4263.633907,3441.331105,5185.741466,0.488366345,0.394177908,0.593986646,0.244183172,0.197088954,0.296993323,0.545749248,0.448706326,0.676155513,0.40791786,0.271121167,0.613736591,1.337890055,1.09999186,1.657577614,1.306760952,1
151,Scomberomorus,IUU_20,0.847893704,0.539830542,1.331758168,20581.71495,11710.01405,36174.76362,4362.776632,3246.961654,5862.040259,10290.85748,5855.007026,18087.38181,2009,2792.25,3181.8116,5043.210492,4122.135624,6131.212518,0.490067082,0.400562891,0.595792191,0.245033541,0.200281446,0.297896095,0.553665171,0.455415628,0.677379459,0.415524793,0.264553178,0.652650839,1.332447979,1.096001094,1.630178199,1.305977786,1
161,Scomberomorus,IUU_40,0.847893704,0.549772897,1.307674018,23831.70626,13609.28798,41732.54501,5051.688424,3787.000662,6738.724973,11915.85313,6804.643991,20866.2725,2009,3257.625,3712.113533,5789.585293,4705.559865,7121.40049,0.485872495,0.394899116,0.597640841,0.242936248,0.197449558,0.298820421,0.562669835,0.457441623,0.692292754,0.41196823,0.267119529,0.635362838,1.365808803,1.110380826,1.680451803,1.327217862,1
171,Scomberomorus,IUU_60,0.847893704,0.560879047,1.281780337,27537.12007,15673.81106,48379.61737,5837.137684,4347.778126,7836.687005,13768.56004,7836.905529,24189.80869,2009,3723,4242.415467,6635.90833,5432.488496,8345.581655,0.481960954,0.394557491,0.606133222,0.240980477,0.197278745,0.303066611,0.561038492,0.446104316,0.685321286,0.408651659,0.2703218,0.617768074,1.372901541,1.091649348,1.677030476,1.323369873,1
24,Squatina,IUU_0,0.095607883,0.07380159,0.123857323,6439.358334,3017.548243,13741.39945,153.9133552,57.866331,409.3800401,3219.679167,1508.774121,6870.699723,2009,78.8379,153.6580333,1461.753014,824.9536284,2033.357403,0.454005799,0.256222308,0.63154038,0.2270029,0.128111154,0.31577019,0.053933804,0.038772279,0.095566463,0.043406534,0.03350635,0.056231943,1.242527317,0.893236008,2.201660781,1.128229215,0.81
33,Squatina,IUU_20,0.095607883,0.07380159,0.123857323,7690.179984,3623.531989,16320.77993,183.8104578,69.85418538,483.6687195,3845.089992,1811.765995,8160.389967,2009,94.60548,184.38964,1744.784596,985.486136,2431.075948,0.453769509,0.256297288,0.632254629,0.226884754,0.128148644,0.316127315,0.054221868,0.038915066,0.095998793,0.043383942,0.033488911,0.056202676,1.24981422,0.896992379,2.212772478,1.134255169,0.81
43,Squatina,IUU_40,0.095607883,0.07380159,0.123857323,9060.739191,4234.858216,19386.00787,216.569524,81.00646319,578.9952665,4530.369596,2117.429108,9693.003933,2009,110.37306,215.1212467,2051.447651,1149.988554,2862.833346,0.452821256,0.253839897,0.631920484,0.226410628,0.126919949,0.315960242,0.053802523,0.038553785,0.095977529,0.043293282,0.033418929,0.056085228,1.242745317,0.890525802,2.216915075,1.125482991,0.81
53,Squatina,IUU_60,0.095607883,0.07380159,0.123857323,10210.69761,4785.698018,21785.40003,244.0557967,91.78931581,648.9124728,5105.348806,2392.849009,10892.70001,2009,126.14064,245.8528533,2309.497496,1303.367407,3222.718108,0.452368209,0.255294487,0.631243472,0.226184104,0.127647244,0.315621736,0.054618219,0.039141072,0.09678057,0.043249967,0.033385493,0.056029115,1.262849959,0.904996565,2.23770274,1.142546348,0.81
