,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
38,Lutjanus,IUU_0,0.378136514,0.307547725,0.464926942,954.6044883,603.0651159,1511.063574,0.228165889,0.143651071,0.408677909,178.0565897,99.40943486,282.8133463,0.12,90.24270341,54.99898688,148.0708278,477.3022442,301.532558,755.5317868,0.141063024,0.114730026,0.173440009,2250,2500,2375,1.7,455809.9235,323579.7763,640297.0196,150028.4944,86623.40434,259123.9487
39,Lutjanus,IUU_20,0.378136514,0.307547725,0.464926942,1129.713639,713.2197791,1789.424442,0.226445233,0.145973323,0.413104988,215.2914738,118.0129249,333.9769696,0.12,106.7964943,65.00392206,175.4585083,564.8568193,356.6098896,894.7122208,0.144124254,0.117219799,0.177203856,2250,2500,2375,1.7,527964.5866,374319.4218,742612.9668,177549.1718,102381.1772,307052.3895
40,Lutjanus,IUU_40,0.378136514,0.307547725,0.464926942,1333.376811,846.7806186,2099.591892,0.221419289,0.144474624,0.414035265,256.8747116,137.372395,393.6817034,0.12,126.0496149,77.61534203,204.7083089,666.6884057,423.3903093,1049.795946,0.145695811,0.118497986,0.17913612,2250,2500,2375,1.7,616423.6981,442120.2219,857064.6259,209557.4848,122244.1637,358239.5406
41,Lutjanus,IUU_60,0.378136514,0.307547725,0.464926942,1523.654452,961.6547539,2414.091833,0.224915756,0.144792239,0.41464753,289.0073386,156.7652023,448.9350018,0.12,144.0373458,87.62296579,236.7730513,761.8272258,480.8273769,1207.045917,0.143450147,0.116671532,0.176375028,2250,2500,2375,1.7,715416.5473,506940.3041,1006830.675,239462.0874,138006.1711,414352.8398
42,Lutjanus,IUU_20_legal,0.378136514,0.307547725,0.464926942,1129.713639,713.2197791,1789.424442,0.181156187,0.116778658,0.330483991,215.2914738,118.0129249,333.9769696,0.12,106.7964943,65.00392206,175.4585083,564.8568193,356.6098896,894.7122208,0.144124254,0.117219799,0.177203856,2250,2500,2375,1.7,527964.5866,374319.4218,742612.9668,177549.1718,102381.1772,307052.3895
43,Micropogonias,IUU_0,0.565525439,0.407485471,0.784859938,1028.297105,543.2403602,1946.45872,0.325689235,0.227672353,0.617218269,423.0465276,223.2301066,605.1753686,0.7,145.3820429,79.12780044,267.1114105,514.1485525,271.6201801,973.2293599,0.282762719,0.203742736,0.392429969,750,750,750,1.7,115683.4245,87383.50848,153148.5159,76325.57252,41542.09523,140233.4905
44,Micropogonias,IUU_40,0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,0.323916451,0.229392552,0.622699181,595.5065861,309.7713726,840.8920779,0.7,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,0.282762719,0.203742736,0.392429969,750,750,750,1.7,160920.3036,123137.3171,210296.4774,106171.9461,58539.44576,192562.1603
45,Micropogonias,IUU_40_legal,0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,0.194349871,0.137635531,0.373619509,595.5065861,309.7713726,840.8920779,0.7,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,0.282762719,0.203742736,0.392429969,750,750,750,1.7,160920.3036,123137.3171,210296.4774,106171.9461,58539.44576,192562.1603
46,Micropogonias,IUU_60_legal,0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,0.129910587,0.090871949,0.247414123,678.7767649,356.4076579,970.379623,0.7,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,0.282762719,0.203742736,0.392429969,750,750,750,1.7,185979.1044,140826.4079,245608.9569,122705.2336,66948.83449,224896.7358
47,Micropogonias,IUU_20,0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,0.322031482,0.224900315,0.604443866,513.421977,273.5374602,735.1614422,0.7,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,0.282762719,0.203742736,0.392429969,750,750,750,1.7,140553.0604,104788.3008,188524.5066,92734.05288,49816.32856,172626.2214
48,Micropogonias,IUU_20_legal,0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,0.257625186,0.179920252,0.483555093,513.421977,273.5374602,735.1614422,0.7,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,0.282762719,0.203742736,0.392429969,750,750,750,1.7,140553.0604,104788.3008,188524.5066,92734.05288,49816.32856,172626.2214
49,Micropogonias,IUU_60,0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,0.324776468,0.227179873,0.618535307,678.7767649,356.4076579,970.379623,0.7,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,0.282762719,0.203742736,0.392429969,750,750,750,1.7,185979.1044,140826.4079,245608.9569,122705.2336,66948.83449,224896.7358
50,Mugil,IUU_40,0.579117434,0.519799302,0.645204796,4797.346624,3711.020989,6201.671911,0.347193455,0.223781822,0.641489978,915.6382276,495.5706415,1420.596173,0.53,694.5567666,518.9641227,929.5615649,2398.673312,1855.510495,3100.835956,0.221064727,0.198421398,0.246292053,600,1000,750,1.7,706920.8851,470783.6102,1132267.428,364642.3025,217964.9315,650693.0954
51,Mugil,IUU_60_legal,0.579117434,0.519799302,0.645204796,5453.86088,4213.645165,7059.113269,0.137830663,0.090466047,0.255521947,1054.390635,568.7470756,1606.429865,0.53,789.6064794,588.5522362,1059.342492,2726.93044,2106.822582,3529.556634,0.223920636,0.20098478,0.249473871,600,1000,750,1.7,793412.6172,527101.6169,1273891.916,414543.4017,247191.9392,741539.7444
52,Mugil,IUU_60,0.579117434,0.519799302,0.645204796,5453.86088,4213.645165,7059.113269,0.344576657,0.226165118,0.638804867,1054.390635,568.7470756,1606.429865,0.53,789.6064794,588.5522362,1059.342492,2726.93044,2106.822582,3529.556634,0.223920636,0.20098478,0.249473871,600,1000,750,1.7,793412.6172,527101.6169,1273891.916,414543.4017,247191.9392,741539.7444
53,Mugil,IUU_20,0.579117434,0.519799302,0.645204796,4115.236708,3175.400396,5333.240237,0.33408248,0.223348524,0.639286731,815.6333135,426.238786,1220.016119,0.53,595.8013306,442.993472,801.319315,2057.618354,1587.700198,2666.620118,0.229560293,0.206046775,0.255757111,600,1000,750,1.7,583965.5353,386993.8025,939937.8714,312795.6986,186057.2582,560923.5205
